2014-07-22 16:04:22,A684346,Transfer,Partner,No
2013-11-07 11:47:07,A666430,Transfer,Partner,Yes
2014-06-03 14:20:03,A675708,Adoption,,Yes
2014-06-15 15:50:15,A680386,Transfer,Partner,Yes
2014-07-07 14:04:07,A683115,Euthanasia,Rabies Risk,Unknown
2013-10-07 13:06:07,A664462,Transfer,Partner,No
2014-12-13 12:20:13,A693700,Euthanasia,Suffering,Unknown
2014-12-08 15:55:08,A692618,Transfer,Partner,Yes
2014-08-14 18:45:14,A685067,Adoption,,No
2014-06-29 17:45:29,A678580,Adoption,Offsite,Yes
2014-03-28 14:55:28,A675405,Return to Owner,,Yes
2014-03-28 14:39:28,A673652,Transfer,Partner,Yes
2014-05-26 19:10:26,A677679,Adoption,Foster,Yes
2014-04-25 11:17:25,A640655,Return to Owner,,Yes
2014-10-26 18:20:26,A690350,Return to Owner,,Yes
2014-06-15 15:11:15,A680396,Transfer,Partner,Yes
2014-04-16 12:51:16,A674298,Transfer,Partner,Yes
2014-01-09 19:29:09,A670420,Transfer,Partner,No
2014-12-21 18:20:21,A692378,Adoption,Foster,Yes
2014-08-13 15:04:13,A684460,Adoption,,Yes
2014-03-06 14:29:06,A673952,Transfer,SCRP,Unknown
2014-08-31 15:45:31,A686497,Adoption,,Yes
2014-12-11 17:52:11,A666660,Adoption,,Yes
2014-10-31 18:29:31,A687965,Adoption,Foster,Yes
2013-12-16 13:59:16,A668547,Transfer,Partner,Yes
2014-10-19 17:54:19,A689952,Adoption,,Yes
2013-12-25 09:47:25,A669621,Transfer,Partner,No
2013-11-19 18:30:19,A667311,Adoption,,Yes
2014-11-04 18:03:04,A690699,Transfer,Partner,No
2014-07-03 12:12:03,A682393,Transfer,Partner,No
2014-06-11 17:11:11,A681039,Transfer,Partner,Unknown
2014-07-03 17:01:03,A682532,Adoption,,Yes
2014-01-03 17:47:03,A669918,Adoption,,Yes
2014-07-19 17:36:19,A683779,Adoption,,Yes
2014-07-09 11:54:09,A678098,Adoption,Foster,Yes
2014-08-27 16:27:27,A686829,Transfer,Partner,No
2014-04-26 13:00:26,A677038,Adoption,,Yes
2013-11-02 17:47:02,A665344,Adoption,,Yes
2014-09-04 09:57:04,A617061,Died,In Kennel,Yes
2014-04-03 13:26:03,A675394,Transfer,Partner,No
2014-07-07 08:40:07,A683068,Euthanasia,Rabies Risk,Unknown
2014-07-12 15:00:12,A682085,Adoption,,Yes
2014-02-28 10:47:28,A673439,Adoption,,Yes
2014-12-09 15:18:09,A692877,Transfer,Partner,Yes
2014-08-12 15:42:12,A683856,Adoption,Foster,Yes
2013-10-13 15:10:13,A647382,Adoption,,Yes
2014-07-19 13:08:19,A683517,Transfer,Partner,No
2013-10-14 11:42:14,A660098,Transfer,Partner,Yes
2014-12-01 18:30:01,A693005,Return to Owner,,Yes
2014-09-25 09:00:25,A688811,Transfer,SCRP,No
2014-06-01 17:15:01,A680225,Transfer,SCRP,No
2013-10-20 12:21:20,A662912,Transfer,Partner,Yes
2014-10-05 18:29:05,A688352,Adoption,,Yes
2014-05-04 15:20:04,A545127,Euthanasia,Aggressive,Yes
2013-10-15 11:14:15,A661023,Adoption,Foster,Yes
2014-03-09 11:34:09,A673648,Return to Owner,,No
2014-03-13 14:58:13,A674466,Transfer,Partner,No
2014-11-13 11:37:13,A637480,Return to Owner,,Yes
2014-05-01 17:05:01,A677479,Adoption,,Yes
2013-10-05 18:56:05,A664116,Adoption,,Yes
2014-04-21 18:04:21,A677218,Transfer,Partner,No
2014-11-09 09:00:09,A691708,Transfer,SCRP,No
2014-09-14 16:59:14,A688079,Return to Owner,,Yes
2014-04-18 12:02:18,A676606,Transfer,Partner,Yes
2013-11-11 15:50:11,A666831,Adoption,,Yes
2014-08-02 14:38:02,A683939,Transfer,Partner,Yes
2014-05-31 18:32:31,A619328,Return to Owner,,Yes
2014-12-05 08:27:05,A693212,Euthanasia,Rabies Risk,Unknown
2014-07-01 11:45:01,A682652,Transfer,Partner,No
2014-05-30 19:01:30,A680208,Euthanasia,Rabies Risk,Unknown
2014-01-12 12:06:12,A670066,Adoption,,Yes
2013-11-19 13:43:19,A667511,Euthanasia,Suffering,No
2014-03-18 16:04:18,A674267,Adoption,,Yes
2014-01-16 17:50:16,A670730,Transfer,Partner,No
2014-01-17 12:33:17,A670656,Return to Owner,,Yes
2013-12-27 16:44:27,A669064,Adoption,,Yes
